epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.1045,2.14874,2.94104,1.78391,0.36404,0.34745,0.32376,0.14844,1.92907,5.92692,1.75904,0.000408497,0.000408497,0.000408497
2,73.9458,1.97519,1.76337,1.65426,0.37303,0.50883,0.37727,0.17118,2.00286,6.69753,2.01081,0.000811548,0.000811548,0.000811548
3,100.224,1.96511,1.67662,1.64388,0.3769,0.35352,0.29592,0.1289,2.00418,2.78439,1.91799,0.00120085,0.00120085,0.00120085
4,126.767,1.96168,1.66413,1.62653,0.33191,0.43142,0.33788,0.12602,2.20981,4.79719,2.07005,0.00118812,0.00118812,0.00118812
5,152.716,1.87882,1.58011,1.61595,0.42283,0.47841,0.42801,0.19134,1.97021,2.58045,1.97108,0.0011675,0.0011675,0.0011675
6,178.469,1.90286,1.53916,1.63852,0.58899,0.5055,0.4847,0.22449,1.89171,1.60871,1.81855,0.00114688,0.00114688,0.00114688
7,204.906,1.84675,1.44471,1.56198,0.52845,0.52738,0.46125,0.20933,1.89379,1.76073,1.74641,0.00112625,0.00112625,0.00112625
8,231.146,1.84189,1.44483,1.57348,0.53507,0.57098,0.52891,0.25075,1.85354,1.5803,1.75683,0.00110563,0.00110563,0.00110563
9,257.132,1.79796,1.35204,1.51292,0.56228,0.49278,0.50354,0.2319,1.98953,1.50967,1.87944,0.001085,0.001085,0.001085
10,282.803,1.7955,1.33271,1.53292,0.5809,0.48675,0.50803,0.24795,1.83507,1.61715,1.75016,0.00106437,0.00106437,0.00106437
11,308.655,1.74572,1.29781,1.52529,0.62341,0.43056,0.4827,0.20532,1.97944,1.87412,1.85887,0.00104375,0.00104375,0.00104375
12,334.118,1.75003,1.30171,1.51238,0.5603,0.54699,0.53635,0.25998,1.84352,1.38148,1.73084,0.00102312,0.00102312,0.00102312
13,359.886,1.7307,1.29008,1.49192,0.58295,0.57169,0.54867,0.27535,1.80558,1.41214,1.73823,0.0010025,0.0010025,0.0010025
14,385.712,1.68905,1.202,1.46731,0.66888,0.50685,0.55219,0.26847,1.8187,1.46455,1.71498,0.000981875,0.000981875,0.000981875
15,411.556,1.69813,1.17461,1.4616,0.60982,0.53928,0.55498,0.26011,1.89505,1.37214,1.82706,0.00096125,0.00096125,0.00096125
16,437.338,1.68165,1.18491,1.45747,0.59125,0.55256,0.55927,0.27571,1.76748,1.35707,1.72415,0.000940625,0.000940625,0.000940625
17,462.903,1.6449,1.15282,1.44651,0.62163,0.55943,0.55003,0.26303,1.87631,1.32132,1.80071,0.00092,0.00092,0.00092
18,488.327,1.65695,1.16699,1.43176,0.62847,0.53867,0.57389,0.293,1.79943,1.35627,1.74206,0.000899375,0.000899375,0.000899375
19,514.062,1.59982,1.08787,1.40198,0.59184,0.5849,0.55749,0.27871,1.81152,1.35899,1.73874,0.00087875,0.00087875,0.00087875
20,539.556,1.63428,1.11353,1.42834,0.59432,0.51173,0.53879,0.23719,1.98567,1.36451,1.87807,0.000858125,0.000858125,0.000858125
21,565.191,1.57982,1.04495,1.39331,0.63771,0.56242,0.57712,0.29083,1.85373,1.38752,1.77258,0.0008375,0.0008375,0.0008375
22,590.56,1.59521,1.05226,1.39498,0.65984,0.58999,0.60227,0.28792,1.89872,1.31703,1.8403,0.000816875,0.000816875,0.000816875
23,616.169,1.56993,1.01621,1.38518,0.60888,0.54553,0.58352,0.27806,1.87375,1.30523,1.79429,0.00079625,0.00079625,0.00079625
24,641.844,1.53643,1.02951,1.37016,0.65414,0.57296,0.60101,0.29923,1.80472,1.30263,1.72701,0.000775625,0.000775625,0.000775625
25,668.83,1.53798,1.02032,1.36362,0.67109,0.57111,0.59452,0.2964,1.79187,1.34309,1.68665,0.000755,0.000755,0.000755
26,694.489,1.49771,0.98366,1.33916,0.68235,0.54276,0.60401,0.30257,1.80053,1.28041,1.74307,0.000734375,0.000734375,0.000734375
27,720.127,1.49723,0.9569,1.35581,0.62379,0.54976,0.57085,0.28558,1.82774,1.36878,1.77455,0.00071375,0.00071375,0.00071375
28,745.865,1.48004,0.92299,1.3294,0.65052,0.56068,0.60592,0.3021,1.80574,1.23211,1.77472,0.000693125,0.000693125,0.000693125
29,771.873,1.46641,0.93209,1.3222,0.65288,0.55809,0.58436,0.28687,1.82475,1.25508,1.77883,0.0006725,0.0006725,0.0006725
30,798.385,1.43427,0.8987,1.30725,0.63607,0.6267,0.64053,0.32518,1.77983,1.23423,1.73462,0.000651875,0.000651875,0.000651875
31,824.303,1.40994,0.88458,1.29647,0.67446,0.58392,0.62596,0.30633,1.8165,1.23768,1.75641,0.00063125,0.00063125,0.00063125
32,850.006,1.40904,0.85989,1.27682,0.67065,0.56183,0.59693,0.29822,1.85591,1.38774,1.76608,0.000610625,0.000610625,0.000610625
33,875.613,1.40478,0.866,1.31022,0.66297,0.56051,0.617,0.30613,1.83161,1.27949,1.77463,0.00059,0.00059,0.00059
34,901.462,1.39394,0.87078,1.28379,0.67598,0.58828,0.62468,0.3124,1.83729,1.31131,1.78604,0.000569375,0.000569375,0.000569375
35,926.985,1.33639,0.80691,1.24956,0.69108,0.5827,0.62401,0.31726,1.80562,1.27501,1.80295,0.00054875,0.00054875,0.00054875
36,952.49,1.36067,0.82119,1.249,0.73639,0.55598,0.62432,0.32195,1.79615,1.26396,1.76746,0.000528125,0.000528125,0.000528125
37,978.141,1.33211,0.78555,1.24816,0.69255,0.57619,0.61682,0.31024,1.82291,1.41038,1.77255,0.0005075,0.0005075,0.0005075
38,1003.47,1.29988,0.76876,1.23217,0.67073,0.58511,0.6171,0.31611,1.77625,1.3001,1.73703,0.000486875,0.000486875,0.000486875
39,1028.84,1.2945,0.76884,1.22992,0.70991,0.56065,0.61578,0.31552,1.76387,1.3051,1.7639,0.00046625,0.00046625,0.00046625
40,1054.3,1.27021,0.7534,1.22413,0.70708,0.54599,0.60702,0.31164,1.78224,1.47262,1.76689,0.000445625,0.000445625,0.000445625
41,1079.78,1.25998,0.73311,1.20059,0.66119,0.57353,0.61559,0.30652,1.81483,1.31959,1.80696,0.000425,0.000425,0.000425
42,1105.05,1.24666,0.73083,1.20518,0.69215,0.57626,0.61382,0.30889,1.83121,1.39875,1.82222,0.000404375,0.000404375,0.000404375
43,1130.55,1.24942,0.72226,1.19502,0.66235,0.57167,0.61156,0.30967,1.81897,1.4493,1.78962,0.00038375,0.00038375,0.00038375
44,1156.19,1.23385,0.69929,1.17616,0.69835,0.57292,0.60576,0.3061,1.80578,1.40257,1.78606,0.000363125,0.000363125,0.000363125
45,1182.01,1.20772,0.69264,1.17393,0.65296,0.56011,0.60029,0.30825,1.82149,1.34884,1.80381,0.0003425,0.0003425,0.0003425
46,1207.71,1.19889,0.67646,1.17689,0.66782,0.59153,0.61338,0.31082,1.81352,1.30816,1.81076,0.000321875,0.000321875,0.000321875
47,1233.34,1.1737,0.66073,1.15856,0.69994,0.57555,0.62589,0.3234,1.77445,1.35199,1.77021,0.00030125,0.00030125,0.00030125
48,1259.07,1.13267,0.63738,1.13235,0.71815,0.56852,0.61675,0.31444,1.82264,1.34927,1.81892,0.000280625,0.000280625,0.000280625
49,1284.83,1.14724,0.63823,1.1455,0.69596,0.58758,0.63153,0.32403,1.80429,1.32566,1.81128,0.00026,0.00026,0.00026
50,1310.35,1.11967,0.62789,1.11458,0.67697,0.59593,0.62342,0.31808,1.79653,1.32162,1.81966,0.000239375,0.000239375,0.000239375
51,1337.85,1.10825,0.61985,1.1548,0.70565,0.57349,0.61364,0.31001,1.82231,1.35682,1.81817,0.00021875,0.00021875,0.00021875
52,1363.34,1.07276,0.57623,1.13314,0.69609,0.58317,0.6223,0.3141,1.81977,1.29139,1.81621,0.000198125,0.000198125,0.000198125
53,1388.83,1.03268,0.55266,1.1249,0.65344,0.59888,0.61299,0.31008,1.82868,1.33806,1.84358,0.0001775,0.0001775,0.0001775
54,1414.33,1.00712,0.53476,1.10435,0.66297,0.58598,0.61847,0.31657,1.82409,1.41797,1.85336,0.000156875,0.000156875,0.000156875
55,1439.71,0.98245,0.50331,1.09745,0.68638,0.58762,0.62725,0.32085,1.82012,1.34752,1.87999,0.00013625,0.00013625,0.00013625
56,1464.93,0.96972,0.50062,1.08209,0.69999,0.57915,0.62535,0.32144,1.81349,1.38758,1.86376,0.000115625,0.000115625,0.000115625
57,1490.15,0.94088,0.48302,1.07377,0.69706,0.57873,0.61099,0.31569,1.82342,1.41101,1.86696,9.5e-05,9.5e-05,9.5e-05
